Test Bench,4W 203 B4
Unit Name,AEWB
Unit HW Version,X31
TRX Module Version,x32
Antenna Module Version,x32
RFM SW Version,5GH49.R04.03
Malli FPGA Image,v42
Antenna FPGA Image,0.3.0
Carrier Configuration,Single
Test Date,17_35_20_2019_12_06
Test Temperature,ROOM
Az. Beam Position,0_deg
El. Beam Position,0_deg
Instrument,TCPIP::192.168.255.200::inst0::INSTR
Testbench Correction,bench4_7jun.s2p
Measured Antenna Gain,21
Radio Antenna Gain,29.1
RF Start,37
RF Stop,40
,
,
carrier,adj lower,adj upper,
-21.303150177,-0.33993339539,-0.17472457886,
